PropertyType_n,SellPrice,CostestimateB,MarketPrice,HouseArea,Floor,HomeCondition_n,BuildingAge,RoadType_n,AsseStatus_n,UserType_n
1,3890000,3890000,0,135.0,2,3,0,1,2,0
1,4400000,4400000,0,147.0,2,3,0,1,2,0
1,5600000,5600000,0,156.0,2,3,0,1,2,0
1,10500000,10500000,0,250.0,2,3,0,1,2,0
1,9990000,9990000,0,233.0,2,3,1,1,2,0
1,8690000,8690000,0,183.0,2,3,1,1,2,0
1,5990000,5990000,0,175.0,2,3,1,1,2,0
1,5590000,5590000,0,164.0,2,3,1,1,2,0
1,3090000,3090000,0,122.0,2,3,0,1,2,0
1,4010000,4010000,0,150.0,2,3,0,1,2,0
1,4180000,4180000,0,167.0,2,3,0,1,2,0
1,4280000,4280000,0,175.0,2,3,0,1,2,0
1,6510000,6510000,0,232.0,2,3,0,1,2,0
1,8630000,0,0,318.0,2,3,0,1,2,0
2,7000000,7000000,0,120.0,3,3,2,1,2,0
1,2350000,2350000,0,133.0,2,3,0,1,2,0
1,2880000,2880000,0,128.0,2,3,0,1,2,0
1,3550000,3550000,0,150.0,2,3,0,1,2,0
1,3820000,3820000,0,158.0,2,3,0,1,2,0
1,3980000,3980000,0,180.0,2,3,0,1,2,0
1,4300000,4300000,0,190.0,2,3,0,1,2,0
1,4800000,4300000,0,220.0,2,3,0,1,2,0
1,4390000,4390000,0,180.0,2,3,0,1,2,0
2,3300000,330000,0,68.0,3,3,0,1,2,0
2,3500000,0,0,20.0,3,3,1,1,2,0
1,4000000,0,0,200.0,2,3,6,1,2,0
1,3900000,3600000,0,230.0,2,3,1,1,2,0
1,600000,750000,700000,0.0,1,2,4,1,2,0
1,8000000,8100000,8150000,52.0,2,2,2,1,0,0
1,3500000,4000000,4000000,300.0,2,3,2,3,2,0
1,1200000,1100000,1000000,56.0,1,2,14,1,2,0
2,2000000,2200000,2100000,20.0,3,2,2,3,1,0
1,15000000,10000000,11000000,50.0,2,3,15,4,0,0
1,2300000,2400000,2400000,200.0,2,3,0,1,2,0
1,4890000,5000000,5500000,70.0,1,2,18,1,2,0
1,2900000,3000000,2500000,59.0,1,2,20,1,2,0
1,35000000,30000000,40000000,200.0,1,2,22,1,2,0
1,7290000,0,0,408.0,1,2,35,3,2,0
1,2290000,2500000,2000000,280.0,2,2,11,1,2,0
1,4290000,5000000,4000000,246.0,2,3,5,1,0,0
2,1300000,1200000,1100000,150.0,2,3,1,1,2,0
1,5500000,5620000,5000000,135.0,2,2,13,1,2,0
1,3850000,4000000,3500000,100.0,2,3,3,1,0,0
1,5190000,5000000,5100000,50.0,2,2,12,1,2,0
1,5990000,7000000,7500000,200.0,2,2,8,1,0,0
1,2250000,2700000,2500000,140.0,1,3,5,1,2,0
1,2690000,2720000,2730000,544.0,1,3,3,1,1,0
0,111111111111,111111111111,11111111,1111.0,1,3,13,4,3,0
2,3500000,3500000,3500000,30.0,3,3,1,1,3,0
1,2300000,2250000,2400000,150.0,1,2,6,1,3,0
1,100055,100005,12313354,30000000000.0,20000,3,0,4,3,0
1,2300000,2100000,2200000,120.0,0,3,0,1,3,0
2,3897000,4000000,3500000,200.0,2,2,12,1,3,0
2,8325000,7000000,7500000,300.0,4,2,12,1,3,0
2,9597000,8000000,10000000,350.0,4,2,9,1,1,0
2,2730000,3000000,2500000,100.0,2,2,10,1,3,0
2,4605000,4500000,4000000,230.0,3,2,13,1,3,0
2,4935000,5000000,4500000,350.0,3,3,5,0,3,0
2,5280000,5500000,4500000,310.0,3,2,12,1,3,0
2,2290000,2061000,0,74.0,2,3,0,1,2,0
1,6705000,7000000,6500000,920.0,2,2,11,1,3,0
1,7500000,8000000,7000000,1145.0,2,2,11,1,3,0
1,4290000,5000000,4500000,64.0,1,2,10,1,3,0
1,9210000,10000000,10000000,317.0,1,2,12,1,3,0
1,6000000,5500000,5000000,983.0,2,2,10,3,3,0
1,3897000,4000000,3500000,952.0,1,2,11,1,3,0
1,3885000,4000000,4500000,1040.0,1,2,11,3,2,0
1,2470000,2500000,2300000,257.0,1,3,1,1,3,0
0,118000,120000,115000,1077.0,2,3,11,3,3,0
0,1799000,1600000,1680000,11049.0,4,2,12,3,3,0
1,83000,90000,85000,835.0,0,2,70,4,1,0
2,192500,180000,190000,155.0,2,2,4,1,2,0
2,179400,170000,180000,856.0,1,0,10,0,1,0
